Thu Apr  3 23:16:18 2014    profil_no-ruler

         248409 function calls (247719 primitive calls) in 32.205 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    0.002    0.002 polyutils.py:33(<module>)
       19    0.002    0.000    0.005    0.000 nosetester.py:138(__init__)
       40    0.002    0.000    0.021    0.001 core.py:106(get_object_signature)
        3    0.002    0.001    0.002    0.001 __init__.py:78(CFUNCTYPE)
       23    0.002    0.000    0.017    0.001 core.py:5919(getdoc)
        1    0.002    0.002    0.002    0.002 GifImagePlugin.py:28(<module>)
     14/1    0.002    0.000    0.011    0.011 _iotools.py:101(flatten_dtype)
       11    0.002    0.000    0.003    0.000 __init__.py:1052(_fixupParents)
        1    0.002    0.002    0.003    0.003 JpegImagePlugin.py:35(<module>)
       30    0.002    0.000    0.002    0.000 numerictypes.py:448(_add_array_type)
       12    0.002    0.000    0.139    0.012 osd.py:84(__init__)
        1    0.002    0.002    0.002    0.002 threading.py:424(Thread)
       11    0.002    0.000    0.011    0.001 __init__.py:1006(getLogger)
        1    0.002    0.002    0.011    0.011 PngImagePlugin.py:34(<module>)
       14    0.002    0.000    0.003    0.000 __init__.py:147(_check_size)
      167    0.002    0.000    0.002    0.000 {setattr}
        1    0.002    0.002    0.002    0.002 __init__.py:1670(NullHandler)
       40    0.002    0.000    0.008    0.000 _inspect.py:118(getargspec)
        1    0.002    0.002    0.002    0.002 records.py:36(<module>)
       51    0.002    0.000    0.004    0.000 abc.py:89(<genexpr>)
       27    0.002    0.000    0.188    0.007 sre_compile.py:480(_code)
  141/129    0.002    0.000    0.009    0.000 {issubclass}
       18    0.002    0.000    0.003    0.000 core.py:900(__init__)
       13    0.002    0.000    0.009    0.001 fromnumeric.py:1931(prod)
       21    0.002    0.000    0.002    0.000 numerictypes.py:219(_evalname)
       14    0.002    0.000    0.196    0.014 osd.py:54(__init__)
        1    0.002    0.002    0.009    0.009 PpmImagePlugin.py:18(<module>)
      442    0.002    0.000    0.002    0.000 {ord}
        1    0.002    0.002    0.002    0.002 memmap.py:1(<module>)
       39    0.002    0.000    0.003    0.000 numerictypes.py:733(issubdtype)
        1    0.002    0.002    0.002    0.002 defchararray.py:17(<module>)
       13    0.002    0.000    0.002    0.000 {method 'prod' of 'numpy.ndarray' objects}
        1    0.002    0.002    0.003    0.003 numerictypes.py:284(_add_types)
        3    0.002    0.001    0.002    0.001 __init__.py:493(PYFUNCTYPE)
       55    0.002    0.000    0.002    0.000 sre_parse.py:72(opengroup)
        1    0.002    0.002    0.002    0.002 core.py:2568(MaskedArray)
       13    0.002    0.000    0.007    0.001 fromnumeric.py:32(_wrapit)
        1    0.002    0.002    0.004    0.004 numerictypes.py:456(_set_array_types)
       54    0.002    0.000    0.002    0.000 sre_compile.py:474(isstring)
        1    0.002    0.002    0.002    0.002 ascii.py:8(<module>)
        1    0.002    0.002    0.002    0.002 _endian.py:4(<module>)
       82    0.001    0.000    0.001    0.000 {range}
        1    0.001    0.001    0.003    0.003 __init__.py:265(_reset_cache)
        1    0.001    0.001    0.002    0.002 ssl.py:56(<module>)
        1    0.001    0.001    0.002    0.002 Mouse.py:1(<module>)
       36    0.001    0.000    0.002    0.000 six.py:95(__init__)
        1    0.001    0.001    0.183    0.183 Texture.py:94(_load_disk)
       12    0.001    0.000    0.010    0.001 abc.py:105(register)
        1    0.001    0.001    0.002    0.002 EventStruct.py:1(<module>)
        1    0.001    0.001    0.001    0.001 signals.py:1(<module>)
      103    0.001    0.000    0.001    0.000 sre_parse.py:134(__setitem__)
       19    0.001    0.000    0.002    0.000 posixpath.py:127(dirname)
      173    0.001    0.000    0.001    0.000 {time.time}
        1    0.001    0.001    0.001    0.001 Ball.py:1(<module>)
        1    0.001    0.001    0.001    0.001 {built-in method keypad}
       74    0.001    0.000    0.002    0.000 numerictypes.py:130(english_lower)
       24    0.001    0.000    0.003    0.000 _weakrefset.py:58(__iter__)
        1    0.001    0.001    0.001    0.001 {PIL._imagingft.getfont}
        1    0.001    0.001    0.013    0.013 parse_mtl.py:1(<module>)
       61    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
        1    0.001    0.001    0.001    0.001 AbsAxisScaling.py:1(<module>)
        1    0.001    0.001    0.019    0.019 platform.py:1018(_syscmd_uname)
       27    0.001    0.000    0.001    0.000 {_sre.compile}
        1    0.001    0.001    0.001    0.001 FindDevices.py:1(<module>)
      103    0.001    0.000    0.001    0.000 {_sre.getlower}
        6    0.001    0.000    0.001    0.000 {open}
       55    0.001    0.000    0.002    0.000 sre_parse.py:83(closegroup)
       12    0.001    0.000    0.002    0.000 __init__.py:1108(__init__)
        1    0.001    0.001    0.001    0.001 numerictypes.py:785(_construct_lookups)
        4    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
        1    0.001    0.001    0.208    0.208 platform.py:10(<module>)
        1    0.001    0.001    0.018    0.018 difflib.py:29(<module>)
        2    0.001    0.001    0.001    0.001 {_ctypes.POINTER}
        1    0.001    0.001    0.020    0.020 numbers.py:6(<module>)
       42    0.001    0.000    0.001    0.000 {hasattr}
        9    0.001    0.000    0.001    0.000 sre_parse.py:216(isname)
       24    0.001    0.000    0.004    0.000 {all}
        1    0.001    0.001    0.002    0.002 locale.py:461(getdefaultlocale)
       23    0.001    0.000    0.001    0.000 sre_parse.py:225(_class_escape)
        1    0.001    0.001    0.001    0.001 arrayterator.py:9(<module>)
    26/13    0.001    0.000    0.002    0.000 py3k.py:48(asbytes_nested)
        1    0.001    0.001    0.001    0.001 numpytest.py:1(<module>)
        1    0.001    0.001    0.001    0.001 scimath.py:17(<module>)
        5    0.001    0.000    0.001    0.000 {method 'close' of 'file' objects}
        1    0.001    0.001    0.001    0.001 numerictypes.py:341(_add_integer_aliases)
       42    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
       23    0.001    0.000    0.018    0.001 core.py:5915(__init__)
        1    0.001    0.001    0.001    0.001 getlimits.py:2(<module>)
        1    0.001    0.001    0.001    0.001 ImageOps.py:20(<module>)
       27    0.001    0.000    0.003    0.000 sre_parse.py:178(__init__)
        1    0.001    0.001    0.002    0.002 <string>:2(<module>)
        1    0.001    0.001    0.002    0.002 os.py:35(_get_exports_list)
       55    0.001    0.000    0.001    0.000 utils.py:108(__init__)
        1    0.001    0.001    0.002    0.002 Loadable.py:1(<module>)
        1    0.001    0.001    0.001    0.001 {_curses.setupterm}
        1    0.001    0.001    0.001    0.001 {dir}
        1    0.001    0.001    0.001    0.001 _import_tools.py:1(<module>)
        1    0.001    0.001    0.072    0.072 ImageFile.py:125(load)
        2    0.001    0.000    0.001    0.001 locale.py:347(normalize)
