Thu Apr  3 23:52:07 2014    profil_all_nonumpy

         274136 function calls (273512 primitive calls) in 41.506 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.004    0.004 PngImagePlugin.py:346(_open)
       39    0.001    0.000    0.001    0.000 numerictypes.py:157(english_upper)
      117    0.001    0.000    0.001    0.000 {method 'translate' of 'str' objects}
        3    0.001    0.000    0.014    0.005 __init__.py:44(_load_library)
        1    0.001    0.001    0.002    0.002 six.py:359(exec_)
       55    0.001    0.000    0.001    0.000 utils.py:93(_set_function_name)
        6    0.001    0.000    0.001    0.000 core.py:1047(__init__)
        1    0.001    0.001    0.001    0.001 nosetester.py:6(<module>)
        5    0.001    0.000    0.001    0.000 Image.py:472(_new)
       55    0.001    0.000    0.001    0.000 utils.py:108(__init__)
       40    0.001    0.000    0.001    0.000 _inspect.py:24(isfunction)
        1    0.001    0.001    0.001    0.001 DefaultInstance.py:1(<module>)
        1    0.001    0.001    0.001    0.001 machar.py:4(<module>)
       22    0.001    0.000    0.342    0.016 re.py:188(compile)
       31    0.001    0.000    0.001    0.000 _inspect.py:37(iscode)
       17    0.001    0.000    0.001    0.000 osd.py:45(__init__)
        1    0.001    0.001    0.001    0.001 {_ctypes.pointer}
        1    0.001    0.001    0.001    0.001 defchararray.py:1695(chararray)
        1    0.001    0.001    0.001    0.001 Light.py:1(<module>)
        9    0.001    0.000    0.005    0.001 extras.py:243(getdoc)
        2    0.001    0.000    0.001    0.000 shape_base.py:1(<module>)
        1    0.001    0.001    0.001    0.001 helper.py:3(<module>)
        1    0.001    0.001    0.001    0.001 ImageColor.py:20(<module>)
        1    0.001    0.001    0.001    0.001 numerictypes.py:382(_set_up_aliases)
        3    0.001    0.000    0.001    0.000 re.py:204(escape)
